,BHKW_el,Waermepumpe_el,Strombedarf,PV
2019-01-09 22:00:00,104.6157,-56.800897,-47.8148,0.0
2019-01-09 23:00:00,97.605362,-56.762562,-40.842800000000004,0.0
2019-01-10 00:00:00,86.904778,-53.784778,-33.12,0.0
2019-01-10 01:00:00,80.879438,-50.679438,-30.200000000000003,0.0
2019-01-10 02:00:00,76.649254,-49.289254,-27.360000000000003,0.0
2019-01-10 03:00:00,75.787892,-49.107892,-26.680000000000003,0.0
2019-01-10 04:00:00,77.356973,-50.436973,-26.919999999999998,0.0
2019-01-10 05:00:00,75.969514,-49.049514,-26.919999999999998,0.0
2019-01-10 06:00:00,79.247524,-50.287524,-28.960000000000004,0.0
2019-01-10 07:00:00,84.181578,-48.701578,-35.480000000000004,0.0
2019-01-10 08:00:00,89.884845,-47.557264,-43.6152,1.2876189
2019-01-10 09:00:00,97.800919,-48.441671,-49.8836,0.52435238
2019-01-10 10:00:00,104.26108,-52.774585,-52.535199999999996,1.0487048
2019-01-10 11:00:00,107.40411,-52.502207,-55.636,0.73409334
2019-01-10 12:00:00,113.53972,-58.135555,-56.348,0.94383429
2019-01-10 13:00:00,111.84728,-60.769563,-53.279999999999994,2.20228
2019-01-10 14:00:00,112.45406,-62.796553,-50.3916,0.73409334
2019-01-10 15:00:00,110.18268,-62.710749,-47.5768,0.10487048
2019-01-10 16:00:00,111.40977,-61.492573,-49.9172,0.0
2019-01-10 17:00:00,116.35546,-59.444659,-56.9108,0.0
2019-01-10 18:00:00,117.2979,-60.058703,-57.239200000000004,0.0
2019-01-10 19:00:00,116.36908,-63.565881,-52.8032,0.0
2019-01-10 20:00:00,109.3888,-63.9756,-45.413199999999996,0.0
2019-01-10 21:00:00,101.40264,-60.125838,-41.2768,0.0
2019-01-10 22:00:00,100.20428,-60.052281,-40.152,0.0
2019-01-10 23:00:00,87.058811,-52.818811,-34.239999999999995,0.0
2019-01-11 00:00:00,78.986595,-51.746595,-27.239999999999995,0.0
2019-01-11 01:00:00,75.822011,-53.222011,-22.599999999999998,0.0
2019-01-11 02:00:00,80.219286,-60.059286,-20.16,0.0
2019-01-11 03:00:00,79.52307,-60.28307,-19.240000000000002,0.0
2019-01-11 04:00:00,79.2832,-59.4432,-19.84,0.0
2019-01-11 05:00:00,79.779027,-60.659027,-19.119999999999997,0.0
2019-01-11 06:00:00,83.461146,-65.892746,-17.5684,0.0
2019-01-11 07:00:00,89.088908,-68.208908,-20.88,0.0
2019-01-11 08:00:00,96.822038,-70.146391,-27.2,0.52435238
2019-01-11 09:00:00,101.6338,-70.7293,-33.56,2.6554957
2019-01-11 10:00:00,108.60412,-70.7293,-40.4356,2.5607774
2019-01-11 11:00:00,107.92944,-70.7293,-46.290800000000004,9.0906579
2019-01-11 12:00:00,111.91977,-70.7293,-46.7676,5.5771319
2019-01-11 13:00:00,111.88396,-70.7293,-43.796,2.6413378
2019-01-11 14:00:00,108.67804,-70.7293,-42.0244,4.0756553
2019-01-11 15:00:00,109.60832,-70.7293,-41.2812,2.4021802
2019-01-11 16:00:00,114.2241,-70.7293,-43.494800000000005,0.0
2019-01-11 17:00:00,120.92653,-68.51773,-52.4088,0.0
2019-01-11 18:00:00,123.40536,-69.096162,-54.309200000000004,0.0
2019-01-11 19:00:00,120.00419,-68.814195,-51.190000000000005,0.0
2019-01-11 20:00:00,114.12644,-68.870043,-45.2564,0.0
2019-01-11 21:00:00,107.36597,-65.542768,-41.8232,0.0
2019-01-11 22:00:00,104.98893,-62.18173,-42.8072,0.0
2019-01-11 23:00:00,93.458897,-57.178897,-36.28,0.0
2019-01-12 00:00:00,85.600865,-55.120865,-30.479999999999997,0.0
2019-01-12 01:00:00,82.364238,-55.244238,-27.119999999999997,0.0
2019-01-12 02:00:00,79.752173,-53.792173,-25.96,0.0
2019-01-12 03:00:00,79.284324,-53.484324,-25.799999999999997,0.0
2019-01-12 04:00:00,82.730162,-54.210162,-28.52,0.0
2019-01-12 05:00:00,95.782054,-59.182054,-36.6,0.0
2019-01-12 06:00:00,111.73963,-58.178432,-53.5612,0.0
2019-01-12 07:00:00,130.1613,-61.627299,-68.534,0.0
2019-01-12 08:00:00,135.63637,-61.370109,-74.476,0.20974095
2019-01-12 09:00:00,135.63637,-62.02112,-74.1396,0.52435238
2019-01-12 10:00:00,135.63637,-59.140531,-77.3348,0.83896381
2019-01-12 11:00:00,135.63637,-57.211095,-80.1032,1.6779276
2019-01-12 12:00:00,135.63637,-57.984695,-79.32960000000001,1.6779276
2019-01-12 13:00:00,133.57673,-56.550707,-78.17960000000001,1.1535752
2019-01-12 14:00:00,134.30554,-58.615966,-76.31880000000001,0.62922286
2019-01-12 15:00:00,127.74979,-53.762331,-74.1972,0.20974095
2019-01-12 16:00:00,127.34491,-52.703708,-74.6412,0.0
2019-01-12 17:00:00,131.30746,-53.263459,-78.044,0.0
2019-01-12 18:00:00,131.22966,-53.288465,-77.9412,0.0
2019-01-12 19:00:00,129.00869,-54.461092,-74.5476,0.0
2019-01-12 20:00:00,117.49669,-51.285892,-66.2108,0.0
2019-01-12 21:00:00,111.70612,-51.313719,-60.3924,0.0
2019-01-12 22:00:00,107.10871,-52.332714,-54.776,0.0
2019-01-12 23:00:00,94.872,-49.8492,-45.022800000000004,0.0
2019-01-13 00:00:00,88.635157,-51.395157,-37.24,0.0
2019-01-13 01:00:00,85.894746,-52.734746,-33.160000000000004,0.0
2019-01-13 02:00:00,85.798962,-54.598962,-31.2,0.0
2019-01-13 03:00:00,84.034076,-52.874076,-31.16,0.0
2019-01-13 04:00:00,87.815568,-52.575568,-35.239999999999995,0.0
2019-01-13 05:00:00,101.45111,-59.651514,-41.7996,0.0
2019-01-13 06:00:00,114.5683,-60.019103,-54.5492,0.0
2019-01-13 07:00:00,126.78179,-58.384995,-68.39680000000001,0.0
2019-01-13 08:00:00,125.55466,-57.513887,-72.0432,4.00243
2019-01-13 09:00:00,124.6515,-57.650278,-71.1768,4.1755787
2019-01-13 10:00:00,114.39487,-51.710145,-71.06400000000001,8.3792787
2019-01-13 11:00:00,107.0147,-48.648951,-71.826,13.46025
2019-01-13 12:00:00,99.162194,-44.596572,-70.7836,16.217978
2019-01-13 13:00:00,104.62066,-45.911601,-69.4112,10.702144
2019-01-13 14:00:00,116.85938,-52.325211,-65.658,1.1238283
2019-01-13 15:00:00,117.3473,-51.970713,-65.6912,0.31461143
2019-01-13 16:00:00,119.86314,-53.275135,-66.588,0.0
2019-01-13 17:00:00,126.6355,-53.848703,-72.7868,0.0
2019-01-13 18:00:00,125.14456,-53.410962,-71.73360000000001,0.0
2019-01-13 19:00:00,123.8749,-57.027697,-66.84719999999999,0.0
2019-01-13 20:00:00,117.21678,-58.709578,-58.5072,0.0
2019-01-13 21:00:00,112.5296,-59.2992,-53.2304,0.0
2019-01-13 22:00:00,100.29635,-50.855546,-49.4408,0.0
2019-01-13 23:00:00,91.289816,-49.625416,-41.6644,0.0
